keyword_id,keyword_text,campaign_id,campaign_name,match_type,date,current_bid,impressions,clicks,conversions,spend,revenue,campaign_daily_budget
K001,wireless headphones,C001,Headphones & Audio,exact,2025-02-01,3.75,397,3,1,6.72,25.05,300.0
K002,bluetooth earbuds,C001,Headphones & Audio,phrase,2025-02-01,2.42,978,10,0,20.4,0.0,300.0
K003,noise cancelling,C001,Headphones & Audio,broad,2025-02-01,4.58,1569,15,0,52.65,0.0,300.0
K004,over ear headphones,C001,Headphones & Audio,exact,2025-02-01,3.19,1124,13,1,37.96,23.37,300.0
K005,phone case iphone,C002,Phone Accessories,exact,2025-02-01,1.42,1176,19,0,15.77,0.0,250.0
K006,screen protector,C002,Phone Accessories,phrase,2025-02-01,1.03,1721,22,0,18.48,0.0,250.0
K007,phone charger fast,C002,Phone Accessories,exact,2025-02-01,2.2,1210,18,2,30.24,27.14,250.0
K008,usb c cable,C002,Phone Accessories,broad,2025-02-01,1.36,1664,37,0,42.55,0.0,250.0
K009,air fryer,C003,Home & Kitchen,exact,2025-02-01,5.55,443,2,0,10.0,0.0,400.0
K010,instant pot,C003,Home & Kitchen,phrase,2025-02-01,4.86,1566,10,0,41.1,0.0,400.0
K011,kitchen knife set,C003,Home & Kitchen,exact,2025-02-01,3.38,1655,16,2,44.64,61.76,400.0
K012,blender smoothie,C003,Home & Kitchen,broad,2025-02-01,3.03,370,1,0,1.59,0.0,400.0
K013,coffee maker,C003,Home & Kitchen,phrase,2025-02-01,4.42,1447,8,0,22.8,0.0,400.0
K014,yoga mat,C004,Fitness & Outdoors,exact,2025-02-01,2.72,336,6,0,14.04,0.0,200.0
K015,resistance bands,C004,Fitness & Outdoors,phrase,2025-02-01,1.95,942,20,0,22.0,0.0,200.0
K016,running shoes men,C004,Fitness & Outdoors,broad,2025-02-01,3.42,1267,9,0,20.97,0.0,200.0
K017,water bottle insulated,C004,Fitness & Outdoors,exact,2025-02-01,1.46,705,10,0,7.6,0.0,200.0
K018,kids puzzle,C005,Kids & Toys,exact,2025-02-01,1.08,1063,17,3,15.47,24.28,150.0
K019,lego set,C005,Kids & Toys,phrase,2025-02-01,2.14,1509,13,1,17.16,24.58,150.0
K020,toy dinosaur,C005,Kids & Toys,broad,2025-02-01,0.76,1729,32,0,14.08,0.0,150.0
K021,coloring book kids,C005,Kids & Toys,exact,2025-02-01,0.59,1729,55,3,24.75,20.86,150.0
K022,desk organizer,C006,Office Supplies,exact,2025-02-01,1.86,827,8,0,13.84,0.0,180.0
K023,standing desk converter,C006,Office Supplies,phrase,2025-02-01,4.39,867,5,0,11.9,0.0,180.0
K024,office chair ergonomic,C006,Office Supplies,exact,2025-02-01,6.57,838,7,0,23.87,0.0,180.0
K025,moisturizer face,C007,Beauty & Personal Care,exact,2025-02-01,2.54,1455,25,3,33.75,62.75,350.0
K026,sunscreen spf 50,C007,Beauty & Personal Care,phrase,2025-02-01,2.13,610,11,0,18.7,0.0,350.0
K027,hair dryer,C007,Beauty & Personal Care,broad,2025-02-01,2.75,1682,12,1,27.6,28.13,350.0
K028,makeup brush set,C007,Beauty & Personal Care,exact,2025-02-01,1.51,981,19,0,20.33,0.0,350.0
K029,vitamin c serum,C007,Beauty & Personal Care,phrase,2025-02-01,3.03,447,3,0,7.65,0.0,350.0
K030,dog food grain free,C008,Pet Supplies,exact,2025-02-01,1.96,1293,12,2,20.64,30.15,120.0
K031,cat litter,C008,Pet Supplies,phrase,2025-02-01,1.35,1035,17,2,18.36,25.19,120.0
K032,dog bed large,C008,Pet Supplies,broad,2025-02-01,2.27,953,10,0,16.8,0.0,120.0
K033,laptop stand,C009,Electronics Deals,exact,2025-02-01,3.42,481,7,0,15.26,0.0,500.0
K034,mechanical keyboard,C009,Electronics Deals,phrase,2025-02-01,4.09,1411,12,0,40.92,0.0,500.0
K035,monitor 27 inch,C009,Electronics Deals,exact,2025-02-01,6.38,1442,6,0,20.34,0.0,500.0
K036,wireless mouse,C009,Electronics Deals,broad,2025-02-01,1.89,368,7,1,11.9,16.47,500.0
K037,usb hub,C009,Electronics Deals,phrase,2025-02-01,1.61,790,12,0,15.48,0.0,500.0
K038,hdmi cable,C009,Electronics Deals,exact,2025-02-01,0.94,850,18,0,15.48,0.0,500.0
K039,garden hose,C010,Garden & Tools,exact,2025-02-01,1.29,1302,27,2,32.94,25.71,80.0
K040,lawn mower,C010,Garden & Tools,phrase,2025-02-01,5.21,1127,5,0,15.0,0.0,80.0
K180,bluetooth speaker portable,C001,Headphones & Audio,phrase,2025-02-01,2.84,197,0,0,0.0,0.0,300.0
K181,yoga pants women,C004,Fitness & Outdoors,exact,2025-02-01,2.07,52,0,0,0.0,0.0,200.0
K182,dog treats natural,C008,Pet Supplies,exact,2025-02-01,1.26,127,2,0,1.46,0.0,120.0
K201,portable speaker waterproof,C001,Headphones & Audio,broad,2025-02-01,2.0,45,2,1,3.2,22.0,300.0
K202,smart watch fitness,C009,Electronics Deals,broad,2025-02-01,4.5,2764,33,0,113.85,0.0,500.0
K205,premium leather wallet,C002,Phone Accessories,exact,2025-02-01,1.5,98,6,0,7.28,0.0,250.0
K206,gaming headset rgb,C009,Electronics Deals,phrase,2025-02-01,3.8,1303,20,0,67.35,0.0,500.0
K207,power drill cordless,C010,Garden & Tools,exact,2025-02-01,4.0,2186,30,1,76.2,48.66,80.0
K300,travel backpack,C009,Electronics Deals,exact,2025-02-01,0.92,603,0,0,0.0,0.0,500.0
K301,wireless charger pad,C004,Fitness & Outdoors,broad,2025-02-01,5.25,100,2,0,9.7,0.0,200.0
K302,led desk lamp,C006,Office Supplies,exact,2025-02-01,3.43,893,14,0,27.86,0.0,180.0
K303,protein powder,C004,Fitness & Outdoors,exact,2025-02-01,1.02,1360,15,1,11.4,17.4,200.0
